iteration,rmse,datetime_start,datetime_complete,duration,bagging_freq,colsample_bytree,max_depth,min_child_samples,n_estimators,num_leaves,subsample,state
366,2550.3714088287443,2023-01-28 15:28:00.834992,2023-01-28 15:28:14.663674,0 days 00:00:13.828682,9,0.79,9,600,750,325,0.95,COMPLETE
157,2550.37483271833,2023-01-28 14:13:18.322513,2023-01-28 14:13:31.035287,0 days 00:00:12.712774,9,0.79,9,600,750,325,0.95,COMPLETE
465,2550.3750614233395,2023-01-28 16:01:55.040299,2023-01-28 16:02:08.637790,0 days 00:00:13.597491,9,0.79,9,600,750,350,0.95,COMPLETE
121,2550.379652028849,2023-01-28 13:59:01.651013,2023-01-28 13:59:16.609774,0 days 00:00:14.958761,9,0.79,9,600,750,325,0.95,COMPLETE
308,2550.3798927471203,2023-01-28 15:08:35.342268,2023-01-28 15:08:56.175944,0 days 00:00:20.833676,9,0.79,9,600,750,350,0.95,COMPLETE
436,2550.3817900285976,2023-01-28 15:52:13.744387,2023-01-28 15:52:27.696699,0 days 00:00:13.952312,9,0.79,9,600,750,350,0.95,COMPLETE
335,2550.477023447578,2023-01-28 15:18:11.427269,2023-01-28 15:18:24.394998,0 days 00:00:12.967729,9,0.77,9,600,750,325,0.95,COMPLETE
347,2550.653161304387,2023-01-28 15:22:06.596757,2023-01-28 15:22:19.780702,0 days 00:00:13.183945,9,0.77,9,600,750,325,0.95,COMPLETE
164,2551.0906047671474,2023-01-28 14:15:45.576470,2023-01-28 14:16:00.271113,0 days 00:00:14.694643,9,0.79,9,600,750,325,0.95,COMPLETE
289,2551.090964713097,2023-01-28 15:01:05.123239,2023-01-28 15:01:18.847490,0 days 00:00:13.724251,9,0.79,9,600,750,325,0.95,COMPLETE
209,2551.092381586015,2023-01-28 14:30:58.737424,2023-01-28 14:31:13.318916,0 days 00:00:14.581492,9,0.79,9,600,750,325,0.95,COMPLETE
400,2551.09289948277,2023-01-28 15:39:56.689608,2023-01-28 15:40:10.609145,0 days 00:00:13.919537,9,0.79,9,600,750,325,0.95,COMPLETE
140,2551.093255252119,2023-01-28 14:06:00.227371,2023-01-28 14:06:14.208869,0 days 00:00:13.981498,9,0.79,9,600,750,325,0.95,COMPLETE
322,2551.093485322606,2023-01-28 15:13:58.396860,2023-01-28 15:14:10.708990,0 days 00:00:12.312130,9,0.79,9,600,500,325,0.95,COMPLETE
