boosting_type,feature_fraction,force_col_wise,learning_rate,max_depth,min_sum_hessian_in_leaf,num_leaves,reg_alpha,reg_lambda,subsample,loss,iteration
gbdt,0.6335829744475133,+,0.07682893944960573,14,0,108,0.5031055704124492,0.2855331418848549,0.6575096409273746,2418.689667310907,438
gbdt,0.5058378200334999,+,0.11881784512788504,14,0,165,0.2780172865555059,0.1821968896377883,0.6771908536727509,2418.7328114917086,365
gbdt,0.5832721855041773,+,0.10374253031002677,13,0,181,0.9906617495414003,0.7713266160361701,0.6055091383035177,2419.000529359939,217
gbdt,0.6876332850933353,+,0.03358801220407515,11,0,196,0.3055227591471701,0.016359979148983184,0.8506230766416087,2419.21453632706,179
gbdt,0.6569074299578,+,0.11107799243297906,14,0,163,0.44229981943187335,0.3743131873971983,0.501332680199054,2419.7904237334765,456
gbdt,0.54237993943695,+,0.10152758076848549,8,0,136,0.5332286284838785,0.06653566998120498,0.7692868245455053,2419.9435588761885,188
gbdt,0.7218057599549703,+,0.1020056032276075,14,0,140,0.2260546430446118,0.8688142814668286,0.8802729365072642,2420.002867617088,151
gbdt,0.7614897187126849,+,0.1153622961628487,12,0,160,0.30976216803321893,0.7699806443691574,0.5801643339191234,2420.1749233882824,162
gbdt,0.6736617281974889,+,0.033424941071632644,14,0,180,0.23336166173217576,0.1972300644419785,0.4074822179633163,2420.500121902035,441
gbdt,0.6576348631771365,+,0.09296398111768475,12,0,98,0.21674218181007954,0.3296258468963162,0.703006325460225,2422.089888263889,407
gbdt,0.5318411114462657,+,0.08909484964005185,8,0,141,0.3181787502841822,0.7815797045022327,0.7056939369633605,2422.262918349468,87
gbdt,0.5061293504891301,+,0.05882756153822827,9,0,126,0.7538621283288447,0.4739216015664796,0.6069765285035068,2422.633990430972,342
gbdt,0.5649517115787789,+,0.10874983511273896,8,0,162,0.21755415388629,0.22584361632606859,0.4838813518670113,2422.7240267414218,333
gbdt,0.6265671704361173,+,0.13779799024048367,14,0,171,0.4678464322620015,0.5821744173769072,0.5895405777801184,2422.729387288128,381
gbdt,0.7147893836516932,+,0.11630525801963014,12,0,137,0.32279196002554894,0.7569227390452793,0.819876414843304,2422.9076047937483,66
gbdt,0.6264441680602262,+,0.13686734334920445,12,0,192,0.1423214139402943,0.27695729223309595,0.8682399707844887,2423.524843584914,106
gbdt,0.583659040173973,+,0.13613206230835634,12,0,131,0.45234143977633207,0.3869250659135638,0.717653825035242,2423.860663897698,436
gbdt,0.7718432159163023,+,0.07776994098550813,12,0,104,0.33698604847769603,0.21652503301662224,0.7336965743103459,2423.905864254884,218
gbdt,0.606801574300982,+,0.1203684661488258,9,0,103,0.15340181663793112,0.024310165628170177,0.6563351808060592,2423.912862331041,82
gbdt,0.6104437857715233,+,0.07529118580848213,8,0,138,0.5423111175088933,0.4200798377372175,0.3807463042153918,2423.959834748556,469
gbdt,0.5099495436349869,+,0.03407340042022294,14,0,159,0.48389068755284237,0.2957298420632046,0.5050910019502938,2424.4717377106367,272
gbdt,0.514190612480519,+,0.11617697140230192,14,0,83,0.5096904475408196,0.3659344757890808,0.42995378533773015,2424.834573931545,267
gbdt,0.6253415608048989,+,0.10222170771620784,14,0,82,0.49025819355562017,0.48279189799503563,0.5748782303260977,2425.6466549737856,389
gbdt,0.5009124212144197,+,0.13155041970539977,8,0,195,0.6440740984442225,0.4171612147558392,0.4138659639130682,2426.2271873326413,273
gbdt,0.7880791419861917,+,0.10179835822630562,10,0,108,0.7617029694546734,0.5655570583120348,0.37361429006210134,2426.3151003090675,250
gbdt,0.5895908385325292,+,0.09447731135753012,14,0,85,0.09635535837140174,0.21991580993296772,0.5465071421124164,2426.4408061255763,491
gbdt,0.6245729542808622,+,0.10281857472113402,12,0,83,0.4276189108403562,0.4629075051168464,0.6780943976875345,2426.6334438424487,442
gbdt,0.7611718003036908,+,0.07335684384678343,14,0,102,0.03359290181508692,0.9149876429850795,0.9715882261647703,2426.9132646310604,60
