iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,loss,max_iter,penalized_intercept,penatly,state
10,7483.234166128581,2023-02-25 23:50:58.875175,2023-02-25 23:50:59.075136,0 days 00:00:00.199961,3.9000000000000004,0.0009679709462620686,0.1,0.031203042224013308,5,2746,epsilon_insensitive,881670,False,l2,COMPLETE
50,7499.696421817033,2023-02-25 23:51:12.254384,2023-02-25 23:51:12.457041,0 days 00:00:00.202657,5.5,0.0001977842163370485,0.4,0.01949782228735255,5,5410,epsilon_insensitive,6739133,True,l1,COMPLETE
3,7530.105890537713,2023-02-25 23:50:56.858935,2023-02-25 23:50:57.114425,0 days 00:00:00.255490,7.2,0.000871733206388221,0.4,0.0499683809069655,20,8222,epsilon_insensitive,9563539,False,l1,COMPLETE
2,7530.242642970948,2023-02-25 23:50:56.653108,2023-02-25 23:50:56.858515,0 days 00:00:00.205407,2.0,0.0005835202232662775,0.8,0.04761137724147126,10,8405,epsilon_insensitive,6531443,True,l1,COMPLETE
1,7535.842464053334,2023-02-25 23:50:56.459175,2023-02-25 23:50:56.652777,0 days 00:00:00.193602,0.4,0.0008220115314450837,0.7000000000000001,0.055541064495920264,7,5378,epsilon_insensitive,5566996,True,l1,COMPLETE
16,7849.856568816009,2023-02-25 23:51:00.073541,2023-02-25 23:51:00.264349,0 days 00:00:00.190808,6.0,0.00036256959864804615,0.30000000000000004,0.08547474108475707,18,3984,epsilon_insensitive,217497,False,l2,COMPLETE
23,7853.524858168735,2023-02-25 23:51:01.523114,2023-02-25 23:51:01.747252,0 days 00:00:00.224138,4.8,0.0006304005024562947,0.2,0.07989690780628117,11,2111,epsilon_insensitive,1181140,False,l2,COMPLETE
28,7853.5249945824025,2023-02-25 23:51:02.587409,2023-02-25 23:51:02.810618,0 days 00:00:00.223209,2.5000000000000004,0.0005485990689281124,0.2,0.09414765216376539,14,3359,epsilon_insensitive,697755,False,l2,COMPLETE
19,7853.5249945824025,2023-02-25 23:51:00.658178,2023-02-25 23:51:00.865700,0 days 00:00:00.207522,2.7,0.0005761387519287528,0.2,0.0841132527035344,13,7399,epsilon_insensitive,172127,False,l2,COMPLETE
14,7853.928435853973,2023-02-25 23:50:59.647518,2023-02-25 23:50:59.841513,0 days 00:00:00.193995,9.9,0.000473351603362546,0.5,0.09997391465962693,14,1846,epsilon_insensitive,3176079,False,l2,COMPLETE
