iteration,rmse,datetime_start,datetime_complete,duration,C,change_tol,epsilon,grad_tol,lbfgs_memory,linesearch_max_iter,max_iter,penatly,state
917,5699.747037355784,2023-02-26 00:01:05.278315,2023-02-26 00:01:06.247853,0 days 00:00:00.969538,11.7,0.0020456306914214298,1.1,0.0019058135562083954,23,2805,1775724,l1,COMPLETE
989,5702.093674395303,2023-02-26 00:02:09.078006,2023-02-26 00:02:10.269089,0 days 00:00:01.191083,10.4,0.0036553299826282254,1.2,0.010677836898829705,22,2801,2556551,l1,COMPLETE
998,5702.100127574701,2023-02-26 00:02:17.253023,2023-02-26 00:02:18.335034,0 days 00:00:01.082011,10.9,0.0036220309544171044,1.2,0.00010576112289899112,22,2779,2238001,l1,COMPLETE
692,5704.9318963027345,2023-02-25 23:57:57.759176,2023-02-25 23:57:58.701792,0 days 00:00:00.942616,10.6,0.0033961646918908967,1.2,0.0018659197769099803,23,2885,2538319,l1,COMPLETE
980,5704.941315504759,2023-02-26 00:02:01.174012,2023-02-26 00:02:02.342660,0 days 00:00:01.168648,11.0,0.0031426227939027507,1.2,0.00010595782587815688,23,2979,2421372,l1,COMPLETE
276,5708.691932187673,2023-02-25 23:53:36.574287,2023-02-25 23:53:37.139511,0 days 00:00:00.565224,13.0,0.006359487972918673,1.4,0.008073629199794695,12,2431,4000425,l1,COMPLETE
275,5713.036379154098,2023-02-25 23:53:35.999225,2023-02-25 23:53:36.573692,0 days 00:00:00.574467,13.2,0.007151140498014973,1.4,0.007503631556860957,12,2425,4108501,l1,COMPLETE
317,5713.810142663057,2023-02-25 23:53:55.661891,2023-02-25 23:53:56.256237,0 days 00:00:00.594346,11.8,0.007611459643152194,1.3,0.0026759047219834364,11,2906,3193858,l1,COMPLETE
319,5713.8101586198345,2023-02-25 23:53:56.907976,2023-02-25 23:53:57.553405,0 days 00:00:00.645429,11.9,0.007598255758736129,1.3,0.002528050553365175,11,2877,2381365,l1,COMPLETE
318,5713.810258414254,2023-02-25 23:53:56.256761,2023-02-25 23:53:56.907513,0 days 00:00:00.650752,12.0,0.007553288527438465,1.3,0.0023692802094902135,11,2908,2440802,l1,COMPLETE
308,5713.810258447472,2023-02-25 23:53:50.958691,2023-02-25 23:53:51.523424,0 days 00:00:00.564733,12.2,0.008285483740572083,1.3,0.0020281924523780446,11,2978,3726198,l1,COMPLETE
301,5713.810258447472,2023-02-25 23:53:47.682565,2023-02-25 23:53:48.208652,0 days 00:00:00.526087,12.2,0.008017042071227479,1.3,0.00013852092020579312,11,2964,3031589,l1,COMPLETE
302,5713.810258447472,2023-02-25 23:53:48.209042,2023-02-25 23:53:48.724927,0 days 00:00:00.515885,12.2,0.007667203340232543,1.3,0.00016541938276780702,11,2972,3163221,l1,COMPLETE
