iteration,rmse,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
463,2822.92333984375,2022-06-04 14:34:16.002858,2022-06-04 14:40:21.467449,0 days 00:06:05.464591,184.0,1971.0,120.0,150.0,890.0,1345.0,COMPLETE
44,2822.928466796875,2022-06-02 19:02:41.888985,2022-06-02 19:11:25.503674,0 days 00:08:43.614689,145.0,1645.0,120.0,75.0,857.0,1819.0,COMPLETE
255,2822.95849609375,2022-06-03 22:39:55.160645,2022-06-03 22:42:50.326434,0 days 00:02:55.165789,141.0,1881.0,120.0,142.0,956.0,629.0,COMPLETE
387,2822.97802734375,2022-06-04 08:06:23.559119,2022-06-04 08:13:40.900451,0 days 00:07:17.341332,145.0,1925.0,120.0,128.0,974.0,1246.0,COMPLETE
241,2823.017333984375,2022-06-03 11:19:31.232850,2022-06-03 11:22:40.960016,0 days 00:03:09.727166,116.0,1889.0,120.0,148.0,969.0,549.0,COMPLETE
115,2823.0361328125,2022-06-03 02:36:45.781941,2022-06-03 02:43:54.805976,0 days 00:07:09.024035,161.0,1838.0,120.0,156.0,970.0,1269.0,COMPLETE
57,2823.091552734375,2022-06-02 20:19:23.403576,2022-06-02 20:24:07.554702,0 days 00:04:44.151126,174.0,1581.0,120.0,119.0,921.0,960.0,COMPLETE
296,2823.093017578125,2022-06-04 01:21:37.904471,2022-06-04 01:24:12.958086,0 days 00:02:35.053615,108.0,1844.0,120.0,157.0,782.0,588.0,COMPLETE
121,2823.12646484375,2022-06-03 03:20:33.580092,2022-06-03 03:27:28.520613,0 days 00:06:54.940521,133.0,1700.0,120.0,155.0,970.0,1228.0,COMPLETE
175,2823.1435546875,2022-06-03 07:12:30.279805,2022-06-03 07:20:24.751814,0 days 00:07:54.472009,152.0,1856.0,120.0,176.0,969.0,1414.0,COMPLETE
444,2823.1494140625,2022-06-04 12:30:48.416521,2022-06-04 12:40:34.604199,0 days 00:09:46.187678,145.0,1801.0,120.0,145.0,969.0,1681.0,COMPLETE
259,2823.206787109375,2022-06-03 22:54:42.842576,2022-06-03 22:57:39.242021,0 days 00:02:56.399445,116.0,1904.0,120.0,150.0,972.0,525.0,COMPLETE
131,2823.27685546875,2022-06-03 04:02:59.325741,2022-06-03 04:06:23.349674,0 days 00:03:24.023933,153.0,1974.0,120.0,181.0,969.0,605.0,COMPLETE
417,2823.321533203125,2022-06-04 10:32:18.846394,2022-06-04 10:35:20.752954,0 days 00:03:01.906560,153.0,1535.0,120.0,156.0,883.0,662.0,COMPLETE
344,2823.348388671875,2022-06-04 04:55:06.260058,2022-06-04 04:57:55.079366,0 days 00:02:48.819308,102.0,1912.0,120.0,151.0,984.0,502.0,COMPLETE
53,2823.351806640625,2022-06-02 20:03:10.281798,2022-06-02 20:07:07.179200,0 days 00:03:56.897402,164.0,1661.0,120.0,118.0,939.0,794.0,COMPLETE
