iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
303,2419.96540335954,2023-01-30 21:15:21.571860,2023-01-30 21:15:41.954851,0 days 00:00:20.382991,10,0.8,10,500,15,COMPLETE
302,2419.96540335954,2023-01-30 21:14:53.155590,2023-01-30 21:15:13.760130,0 days 00:00:20.604540,10,0.8,10,500,15,COMPLETE
301,2419.96540335954,2023-01-30 21:14:27.910635,2023-01-30 21:14:48.596188,0 days 00:00:20.685553,10,0.8,10,500,15,COMPLETE
300,2419.96540335954,2023-01-30 21:14:02.614193,2023-01-30 21:14:22.982117,0 days 00:00:20.367924,10,0.8,10,500,15,COMPLETE
298,2419.96540335954,2023-01-30 21:13:12.199991,2023-01-30 21:13:32.536004,0 days 00:00:20.336013,10,0.8,10,500,15,COMPLETE
297,2419.96540335954,2023-01-30 21:12:46.973112,2023-01-30 21:13:07.640034,0 days 00:00:20.666922,10,0.8,10,500,15,COMPLETE
296,2419.96540335954,2023-01-30 21:12:21.423018,2023-01-30 21:12:41.907867,0 days 00:00:20.484849,10,0.8,10,500,15,COMPLETE
295,2419.96540335954,2023-01-30 21:11:44.002298,2023-01-30 21:12:17.081924,0 days 00:00:33.079626,10,0.8,10,500,15,COMPLETE
294,2419.96540335954,2023-01-30 21:11:10.140776,2023-01-30 21:11:39.624328,0 days 00:00:29.483552,10,0.8,10,500,15,COMPLETE
292,2419.96540335954,2023-01-30 21:10:03.532819,2023-01-30 21:10:33.638116,0 days 00:00:30.105297,10,0.8,10,500,15,COMPLETE
291,2419.96540335954,2023-01-30 21:09:38.137638,2023-01-30 21:09:58.511414,0 days 00:00:20.373776,10,0.8,10,500,15,COMPLETE
290,2419.96540335954,2023-01-30 21:09:03.705020,2023-01-30 21:09:25.321704,0 days 00:00:21.616684,10,0.8,10,500,15,COMPLETE
288,2419.96540335954,2023-01-30 21:08:13.630510,2023-01-30 21:08:33.847698,0 days 00:00:20.217188,10,0.8,10,500,15,COMPLETE
285,2419.96540335954,2023-01-30 21:06:54.410212,2023-01-30 21:07:14.629442,0 days 00:00:20.219230,10,0.8,10,500,15,COMPLETE
358,2419.96540335954,2023-01-30 21:40:18.505406,2023-01-30 21:40:39.261719,0 days 00:00:20.756313,10,0.8,10,500,15,COMPLETE
376,2419.96540335954,2023-01-30 21:48:36.843968,2023-01-30 21:48:57.006051,0 days 00:00:20.162083,10,0.8,10,500,15,COMPLETE
360,2419.96540335954,2023-01-30 21:41:15.137983,2023-01-30 21:41:36.920914,0 days 00:00:21.782931,10,0.8,10,500,15,COMPLETE
462,2419.96540335954,2023-01-30 22:29:54.087591,2023-01-30 22:30:19.811454,0 days 00:00:25.723863,10,0.8,10,500,15,COMPLETE
460,2419.96540335954,2023-01-30 22:29:02.072203,2023-01-30 22:29:22.632450,0 days 00:00:20.560247,10,0.8,20,500,15,COMPLETE
458,2419.96540335954,2023-01-30 22:28:13.273608,2023-01-30 22:28:33.530233,0 days 00:00:20.256625,10,0.8,10,500,15,COMPLETE
457,2419.96540335954,2023-01-30 22:27:48.956926,2023-01-30 22:28:09.216128,0 days 00:00:20.259202,10,0.8,20,500,15,COMPLETE
456,2419.96540335954,2023-01-30 22:27:24.705597,2023-01-30 22:27:44.843577,0 days 00:00:20.137980,10,0.8,10,500,15,COMPLETE
455,2419.96540335954,2023-01-30 22:27:00.155579,2023-01-30 22:27:20.437289,0 days 00:00:20.281710,10,0.8,10,500,15,COMPLETE
454,2419.96540335954,2023-01-30 22:26:35.718634,2023-01-30 22:26:55.465610,0 days 00:00:19.746976,10,0.8,20,500,15,COMPLETE
453,2419.96540335954,2023-01-30 22:26:05.850754,2023-01-30 22:26:28.897529,0 days 00:00:23.046775,10,0.8,10,500,15,COMPLETE
451,2419.96540335954,2023-01-30 22:25:14.904184,2023-01-30 22:25:35.899273,0 days 00:00:20.995089,10,0.8,20,500,15,COMPLETE
450,2419.96540335954,2023-01-30 22:24:49.553508,2023-01-30 22:25:10.661653,0 days 00:00:21.108145,10,0.8,10,500,15,COMPLETE
449,2419.96540335954,2023-01-30 22:24:24.213655,2023-01-30 22:24:44.749099,0 days 00:00:20.535444,10,0.8,10,500,15,COMPLETE
448,2419.96540335954,2023-01-30 22:23:55.893703,2023-01-30 22:24:17.212933,0 days 00:00:21.319230,10,0.8,20,500,15,COMPLETE
447,2419.96540335954,2023-01-30 22:23:31.619314,2023-01-30 22:23:51.757598,0 days 00:00:20.138284,10,0.8,10,500,15,COMPLETE
445,2419.96540335954,2023-01-30 22:22:20.039689,2023-01-30 22:22:40.306191,0 days 00:00:20.266502,10,0.8,20,500,15,COMPLETE
443,2419.96540335954,2023-01-30 22:21:30.560012,2023-01-30 22:21:50.837355,0 days 00:00:20.277343,10,0.8,10,500,15,COMPLETE
442,2419.96540335954,2023-01-30 22:21:03.059366,2023-01-30 22:21:23.804809,0 days 00:00:20.745443,10,0.8,20,500,15,COMPLETE
439,2419.96540335954,2023-01-30 22:19:33.340833,2023-01-30 22:19:59.916058,0 days 00:00:26.575225,10,0.8,20,500,15,COMPLETE
438,2419.96540335954,2023-01-30 22:19:04.296895,2023-01-30 22:19:26.450204,0 days 00:00:22.153309,10,0.8,10,500,15,COMPLETE
437,2419.96540335954,2023-01-30 22:18:38.974595,2023-01-30 22:18:58.812343,0 days 00:00:19.837748,10,0.8,10,500,15,COMPLETE
436,2419.96540335954,2023-01-30 22:18:13.371870,2023-01-30 22:18:34.487554,0 days 00:00:21.115684,10,0.8,10,500,15,COMPLETE
435,2419.96540335954,2023-01-30 22:17:47.067382,2023-01-30 22:18:08.281071,0 days 00:00:21.213689,10,0.8,20,500,15,COMPLETE
434,2419.96540335954,2023-01-30 22:17:20.742911,2023-01-30 22:17:43.013422,0 days 00:00:22.270511,10,0.8,10,500,15,COMPLETE
431,2419.96540335954,2023-01-30 22:15:48.704769,2023-01-30 22:16:10.157675,0 days 00:00:21.452906,10,0.8,10,500,15,COMPLETE
463,2419.96540335954,2023-01-30 22:30:24.673234,2023-01-30 22:30:44.350199,0 days 00:00:19.676965,10,0.8,20,500,15,COMPLETE
430,2419.96540335954,2023-01-30 22:15:05.434935,2023-01-30 22:15:44.389775,0 days 00:00:38.954840,10,0.8,20,500,15,COMPLETE
465,2419.96540335954,2023-01-30 22:31:13.072475,2023-01-30 22:31:33.001913,0 days 00:00:19.929438,10,0.8,10,500,15,COMPLETE
467,2419.96540335954,2023-01-30 22:32:01.956428,2023-01-30 22:32:22.562824,0 days 00:00:20.606396,10,0.8,10,500,15,COMPLETE
496,2419.96540335954,2023-01-30 22:45:20.681646,2023-01-30 22:45:43.708469,0 days 00:00:23.026823,10,0.8,10,500,15,COMPLETE
495,2419.96540335954,2023-01-30 22:44:55.503892,2023-01-30 22:45:16.116367,0 days 00:00:20.612475,10,0.8,10,500,15,COMPLETE
494,2419.96540335954,2023-01-30 22:44:17.767641,2023-01-30 22:44:51.127972,0 days 00:00:33.360331,10,0.8,20,500,15,COMPLETE
492,2419.96540335954,2023-01-30 22:43:22.845735,2023-01-30 22:43:43.887989,0 days 00:00:21.042254,10,0.8,10,500,15,COMPLETE
491,2419.96540335954,2023-01-30 22:42:46.475587,2023-01-30 22:43:18.264063,0 days 00:00:31.788476,10,0.8,20,500,15,COMPLETE
490,2419.96540335954,2023-01-30 22:42:22.181780,2023-01-30 22:42:42.381527,0 days 00:00:20.199747,10,0.8,10,500,15,COMPLETE
489,2419.96540335954,2023-01-30 22:41:55.860633,2023-01-30 22:42:17.326421,0 days 00:00:21.465788,10,0.8,10,500,15,COMPLETE
487,2419.96540335954,2023-01-30 22:41:04.616520,2023-01-30 22:41:24.436179,0 days 00:00:19.819659,10,0.8,10,500,15,COMPLETE
486,2419.96540335954,2023-01-30 22:40:32.470642,2023-01-30 22:40:58.611983,0 days 00:00:26.141341,10,0.8,10,500,15,COMPLETE
485,2419.96540335954,2023-01-30 22:40:01.676957,2023-01-30 22:40:21.414989,0 days 00:00:19.738032,10,0.8,20,500,15,COMPLETE
483,2419.96540335954,2023-01-30 22:39:03.132734,2023-01-30 22:39:24.105776,0 days 00:00:20.973042,10,0.8,10,500,15,COMPLETE
482,2419.96540335954,2023-01-30 22:38:38.693822,2023-01-30 22:38:58.718268,0 days 00:00:20.024446,10,0.8,20,500,15,COMPLETE
