iteration,rmse,datetime_start,datetime_complete,duration,depth,l2_leaf_reg,min_data_in_leaf,n_estimators,one_hot_max_size,state
372,2419.96540335954,2023-01-30 14:42:30.874394,2023-01-30 14:42:52.027106,0 days 00:00:21.152712,10,0.8,20,500,5,COMPLETE
318,2419.96540335954,2023-01-30 14:15:43.720940,2023-01-30 14:16:12.915105,0 days 00:00:29.194165,10,0.8,20,500,5,COMPLETE
315,2419.96540335954,2023-01-30 14:14:18.594889,2023-01-30 14:14:40.027817,0 days 00:00:21.432928,10,0.8,20,500,5,COMPLETE
314,2419.96540335954,2023-01-30 14:13:35.735369,2023-01-30 14:13:57.777910,0 days 00:00:22.042541,10,0.8,20,500,5,COMPLETE
312,2419.96540335954,2023-01-30 14:12:40.988524,2023-01-30 14:13:02.382531,0 days 00:00:21.394007,10,0.8,20,500,5,COMPLETE
311,2419.96540335954,2023-01-30 14:12:13.863333,2023-01-30 14:12:35.429580,0 days 00:00:21.566247,10,0.8,20,500,5,COMPLETE
284,2419.96540335954,2023-01-30 13:58:14.752131,2023-01-30 13:58:36.122091,0 days 00:00:21.369960,10,0.8,20,500,5,COMPLETE
310,2419.96540335954,2023-01-30 14:11:48.541139,2023-01-30 14:12:09.306210,0 days 00:00:20.765071,10,0.8,20,500,5,COMPLETE
300,2419.96540335954,2023-01-30 14:06:32.879677,2023-01-30 14:06:54.786777,0 days 00:00:21.907100,10,0.8,20,500,5,COMPLETE
299,2419.96540335954,2023-01-30 14:05:58.611164,2023-01-30 14:06:19.177380,0 days 00:00:20.566216,10,0.8,20,500,5,COMPLETE
298,2419.96540335954,2023-01-30 14:05:28.923989,2023-01-30 14:05:50.572349,0 days 00:00:21.648360,10,0.8,20,500,5,COMPLETE
296,2419.96540335954,2023-01-30 14:04:32.678730,2023-01-30 14:04:57.883016,0 days 00:00:25.204286,10,0.8,20,500,5,COMPLETE
295,2419.96540335954,2023-01-30 14:04:03.984538,2023-01-30 14:04:28.227672,0 days 00:00:24.243134,10,0.8,20,500,5,COMPLETE
294,2419.96540335954,2023-01-30 14:03:33.670713,2023-01-30 14:03:57.646453,0 days 00:00:23.975740,10,0.8,20,500,5,COMPLETE
292,2419.96540335954,2023-01-30 14:02:36.846631,2023-01-30 14:03:02.128918,0 days 00:00:25.282287,10,0.8,20,500,5,COMPLETE
291,2419.96540335954,2023-01-30 14:02:08.182691,2023-01-30 14:02:32.050186,0 days 00:00:23.867495,10,0.8,20,500,5,COMPLETE
290,2419.96540335954,2023-01-30 14:01:39.527530,2023-01-30 14:02:03.877880,0 days 00:00:24.350350,10,0.8,20,500,5,COMPLETE
289,2419.96540335954,2023-01-30 14:00:57.145814,2023-01-30 14:01:34.710931,0 days 00:00:37.565117,10,0.8,20,500,5,COMPLETE
287,2419.96540335954,2023-01-30 13:59:59.270289,2023-01-30 14:00:23.604210,0 days 00:00:24.333921,10,0.8,20,500,5,COMPLETE
309,2419.96540335954,2023-01-30 14:11:16.287070,2023-01-30 14:11:42.318211,0 days 00:00:26.031141,10,0.8,20,500,10,COMPLETE
373,2419.96540335954,2023-01-30 14:42:56.395096,2023-01-30 14:43:26.236145,0 days 00:00:29.841049,10,0.8,20,500,5,COMPLETE
380,2419.96540335954,2023-01-30 14:46:12.642245,2023-01-30 14:46:34.556660,0 days 00:00:21.914415,10,0.8,20,500,5,COMPLETE
375,2419.96540335954,2023-01-30 14:44:00.252373,2023-01-30 14:44:21.426522,0 days 00:00:21.174149,10,0.8,20,500,5,COMPLETE
466,2419.96540335954,2023-01-30 15:27:53.050957,2023-01-30 15:28:14.870791,0 days 00:00:21.819834,10,0.8,20,500,5,COMPLETE
465,2419.96540335954,2023-01-30 15:27:27.560848,2023-01-30 15:27:48.467729,0 days 00:00:20.906881,10,0.8,20,500,5,COMPLETE
464,2419.96540335954,2023-01-30 15:27:01.809085,2023-01-30 15:27:22.662985,0 days 00:00:20.853900,10,0.8,20,500,5,COMPLETE
463,2419.96540335954,2023-01-30 15:26:33.133311,2023-01-30 15:26:54.631442,0 days 00:00:21.498131,10,0.8,20,500,5,COMPLETE
461,2419.96540335954,2023-01-30 15:25:21.290991,2023-01-30 15:25:51.354636,0 days 00:00:30.063645,10,0.8,10,500,5,COMPLETE
